,yyyymm,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,d/p,d/y,e/p,d/e,ret (S&P 500 annualized log return including dividends)
33,192909,0.244868249,0.0458,0.048,0.0612,0.0375,0.121389823,0.003816667,0,0.0027,0.0034,0.003392282,-3.468391947,-3.518507492,-2.966972121,-0.501419825,-0.053046
34,192910,0.307484187,0.0437,0.0477,0.0611,0.0347,0.15961189,0.003641667,0,0.0382,0.0073,0.053507543,-3.235577674,-3.457809838,-2.731935686,-0.503641988,-0.188115
35,192911,0.351956476,0.0347,0.0476,0.0603,0.0331,0.177040028,0.002891667,0,0.0236,-0.0018,0.036448746,-3.081527634,-3.225106375,-2.57634289,-0.505184744,-0.130374
36,192912,0.338457824,0.0303,0.0467,0.0595,0.034,0.163522459,0.002525,-0.005780347,-0.0089,0.0192,0.01021463,-3.096183853,-3.071164847,-2.589490466,-0.506693386,0.023571
37,193001,0.314816201,0.0339,0.0466,0.0592,0.0347,0.153314544,0.002825,-0.005813953,-0.0057,0.0059,0.001433161,-3.155956648,-3.095359451,-2.68356095,-0.472395698,0.057032
38,193002,0.310206189,0.0336,0.0469,0.0589,0.0339,0.159256115,0.0028,-0.005847953,0.0129,0.0072,0.001724706,-3.176302787,-3.155030007,-2.740131512,-0.436171275,0.021516
39,193003,0.319119189,0.0295,0.0462,0.0573,0.0335,0.145496824,0.002458333,-0.005882353,0.0083,0.0138,0.001504044,-3.252345407,-3.175479826,-2.852896647,-0.39944876,0.069351
40,193004,0.326970598,0.03,0.046,0.057,0.0338,0.12968237,0.0025,0.00591716,-0.0016,0.0084,0.001933862,-3.241930723,-3.251523123,-2.880540723,-0.36139,-0.015867
41,193005,0.331915512,0.0241,0.046,0.0572,0.0329,0.12492754,0.002008333,-0.005882353,0.0139,0.0057,0.004693439,-3.224403529,-3.241006461,-2.903358953,-0.321044575,-0.015304
42,193006,0.403375453,0.0189,0.0457,0.0578,0.0328,0.131002488,0.001575,-0.00591716,0.0051,0.011,0.014447862,-3.043789569,-3.223582679,-2.763829542,-0.279960026,-0.159182
43,193007,0.390187615,0.0183,0.0452,0.0577,0.0327,0.140551964,0.001525,-0.011904762,0.0034,0.0056,0.004920446,-3.0789704,-3.042969392,-2.841783675,-0.237186725,0.036395
44,193008,0.3797521,0.0153,0.0447,0.0573,0.0328,0.121495714,0.001275,-0.006024096,0.0013,0.0136,0.004049926,-3.085563806,-3.078048505,-2.893934484,-0.191629322,0.006691
45,193009,0.445583211,0.0177,0.0442,0.0565,0.0324,0.127201771,0.001475,0.006060606,0.0074,0.0108,0.003738406,-2.945380789,-3.084745056,-2.800406169,-0.14497462,-0.127635
46,193010,0.497954731,0.0174,0.0442,0.0594,0.0324,0.129492088,0.00145,-0.006024096,0.0035,0.0054,0.012876666,-2.851616597,-2.944562709,-2.755498291,-0.096118306,-0.086394
47,193011,0.504670831,0.014,0.0447,0.0625,0.0322,0.137752863,0.001166667,-0.006060606,0.0042,-0.0012,0.007160072,-2.828613199,-2.850697056,-2.784854344,-0.043758854,-0.024113
48,193012,0.554745413,0.0148,0.0452,0.0671,0.033,0.113885963,0.001233333,-0.018292683,-0.007,-0.009,0.008166329,-2.750666503,-2.827796539,-2.760923003,0.0102565,-0.077707
49,193101,0.539152002,0.0124,0.0442,0.0641,0.0343,0.089710821,0.001033333,-0.01242236,-0.0121,0.0203,0.005224312,-2.812065031,-2.764330865,-2.840073365,0.028008334,0.056729
50,193102,0.479667963,0.0106,0.0443,0.0638,0.0338,0.082533971,0.000883333,-0.012578616,0.0085,0.0068,0.002884626,-2.934300917,-2.82602359,-2.980785967,0.04648505,0.105279
51,193103,0.529125087,0.0138,0.0439,0.0644,0.0332,0.073969362,0.00115,-0.006369427,0.0104,0.0094,0.004168752,-2.876685141,-2.948350691,-2.942643109,0.065957968,-0.073451
52,193104,0.603214498,0.0149,0.044,0.0672,0.0327,0.077767867,0.001241667,-0.006410256,0.0086,0.0067,0.006709266,-2.790157663,-2.890935128,-2.876551202,0.086393539,-0.09546
53,193105,0.709948622,0.0088,0.0437,0.0715,0.0317,0.071366603,0.000733333,-0.012903226,0.0145,0.0134,0.006910695,-2.657177502,-2.804723138,-2.764937576,0.107760073,-0.14302
54,193106,0.607271274,0.0055,0.0436,0.0736,0.0319,0.063744572,0.000458333,-0.013071895,0.0004,0.0052,0.02333295,-2.802012672,-2.671847152,-2.93237449,0.130361818,0.139763
55,193107,0.673609572,0.0041,0.0436,0.0708,0.0325,0.033992031,0.000341667,0,-0.0042,0.0052,0.007039256,-2.739831792,-2.816900729,-2.894020065,0.154188273,-0.07857
56,193108,0.654185496,0.0042,0.044,0.0747,0.0326,0.020142586,0.00035,0,0.0012,0.0012,0.00454204,-2.764483133,-2.755059359,-2.943717739,0.179234605,0.002304
57,193109,0.944001656,0.0045,0.0455,0.0807,0.0353,0.030348556,0.000375,-0.006622517,-0.0281,-0.0014,0.023458995,-2.423979172,-2.779829883,-2.629831226,0.205852054,-0.291524
58,193110,0.877176108,0.017,0.0499,0.0904,0.0385,0.011250397,0.001416667,-0.006666667,-0.033,-0.0363,0.042501955,-2.520637164,-2.439565121,-2.754705893,0.234068728,0.072834
59,193111,0.971556408,0.0177,0.0494,0.0893,0.0385,0.003376145,0.001475,-0.013422819,0.0027,-0.0189,0.011434544,-2.433653356,-2.536589884,-2.697578901,0.263925545,-0.109396
60,193112,1.170731707,0.0241,0.0532,0.1042,0.0407,-0.012946596,0.002008333,-0.006802721,-0.022,-0.0286,0.021195349,-2.292781093,-2.449742737,-2.588626476,0.295845383,-0.145471
61,193201,1.191378184,0.0248,0.052,0.0913,0.039,-0.011579689,0.002066667,-0.020547945,0.0034,-0.0052,0.017376784,-2.297149954,-2.325883973,-2.587651241,0.290501287,-0.021067
62,193202,1.119842829,0.0242,0.0523,0.0887,0.0367,-0.015730744,0.002016667,-0.013986014,0.0413,-0.0238,0.026715251,-2.380709658,-2.331255823,-2.665483048,0.28477339,0.045233
63,193203,1.185862445,0.0225,0.0498,0.0883,0.037,-0.00841782,0.001875,-0.007092199,-0.0018,0.0356,0.013408922,-2.290348367,-2.416155062,-2.569061769,0.278713402,-0.125245
64,193204,1.553727874,0.0111,0.0517,0.1046,0.0336,-0.015476144,0.000925,-0.007142857,0.0604,-0.0176,0.019851413,-2.10087019,-2.327096463,-2.373110626,0.272240436,-0.207637
65,193205,1.942333482,0.0031,0.0536,0.11,0.0349,-0.034050974,0.000258333,-0.014388489,-0.0188,0.0107,0.023183792,-1.873246172,-2.138874764,-2.138512561,0.265266389,-0.240123
66,193206,2.028478058,0.0034,0.0541,0.11,0.0347,-0.040687261,0.000283333,-0.00729927,0.0065,-0.0009,0.034302583,-1.903915028,-1.912903853,-2.161744137,0.257829109,-0.006507
67,193207,1.612544071,0.0022,0.0526,0.1079,0.032,-0.029175248,0.000183333,0,0.0481,0.0043,0.020110578,-2.265099807,-1.94521062,-2.514926542,0.249826735,0.390006
