caldt,vwretd
1984/11/30,-0.009841
1984/12/31,0.025556
1985/01/31,0.076868
1985/02/28,0.014166
1985/03/29,-0.000636
1985/04/30,-0.003704
1985/05/31,0.062740
1985/06/28,0.016065
1985/07/31,-0.003321
1985/08/30,-0.006473
1985/09/30,-0.033248
1985/10/31,0.045079
1985/11/29,0.071887
1985/12/31,0.048156
1986/01/31,0.004706
1986/02/28,0.076525
1986/03/31,0.055832
1986/04/30,-0.013348
1986/05/30,0.055326
1986/06/30,0.015744
1986/07/31,-0.057541
1986/08/29,0.074417
1986/09/30,-0.083243
1986/10/31,0.056538
1986/11/28,0.024876
1986/12/31,-0.027513
1987/01/30,0.135183
1987/02/27,0.041778
1987/03/31,0.026336
1987/04/30,-0.009045
1987/05/29,0.009128
1987/06/30,0.050140
1987/07/31,0.049843
1987/08/31,0.039108
1987/09/30,-0.021940
1987/10/30,-0.215795
1987/11/30,-0.081874
1987/12/31,0.073922
1988/01/29,0.042712
1988/02/29,0.047445
1988/03/31,-0.030847
1988/04/29,0.010516
1988/05/31,0.008012
1988/06/30,0.047676
1988/07/29,-0.004458
1988/08/31,-0.032488
1988/09/30,0.042739
1988/10/31,0.026891
1988/11/30,-0.014355
1988/12/30,0.018553
1989/01/31,0.072303
1989/02/28,-0.025031
1989/03/31,0.023038
1989/04/28,0.051707
1989/05/31,0.041022
1989/06/30,-0.005611
1989/07/31,0.090053
1989/08/31,0.019853
1989/09/29,-0.004004
1989/10/31,-0.023639
1989/11/30,0.020479
1989/12/29,0.022657
1990/01/31,-0.067661
1990/02/28,0.013381
1990/03/30,0.026588
1990/04/30,-0.024504
1990/05/31,0.097419
1990/06/29,-0.006754
1990/07/31,-0.004454
1990/08/31,-0.090801
1990/09/28,-0.048959
1990/10/31,-0.003597
1990/11/30,0.064561
1990/12/31,0.027987
1991/01/31,0.045001
1991/02/28,0.071565
1991/03/28,0.024354
1991/04/30,0.002268
1991/05/31,0.042930
1991/06/28,-0.045357
1991/07/31,0.046526
1991/08/30,0.023885
1991/09/30,-0.016861
1991/10/31,0.013458
1991/11/29,-0.040214
1991/12/31,0.114089
1992/01/31,-0.018348
1992/02/28,0.012865
1992/03/31,-0.019470
1992/04/30,0.028614
1992/05/29,0.004850
1992/06/30,-0.015030
1992/07/31,0.040924
1992/08/31,-0.020615
1992/09/30,0.011340
1992/10/30,0.004796
1992/11/30,0.033794
1992/12/31,0.013380
1993/01/29,0.007282
1993/02/26,0.013526
1993/03/31,0.021202
1993/04/30,-0.024519
1993/05/28,0.026259
1993/06/30,0.003466
1993/07/30,-0.004593
1993/08/31,0.037431
1993/09/30,-0.007582
1993/10/29,0.019884
1993/11/30,-0.008655
1993/12/31,0.012646
1994/01/31,0.033429
1994/02/28,-0.027161
1994/03/31,-0.043456
1994/04/29,0.012817
1994/05/31,0.016309
1994/06/30,-0.024762
