  PERMNO        date           amzn        vwretd        ewretd        sprtrn
   84788    20090605       0.023854     -0.003115      0.001207     -0.002515
   84788    20090608      -0.013705     -0.002646     -0.003553     -0.001011
   84788    20090609       0.008337      0.005493      0.008719      0.003503
   84788    20090610      -0.005627     -0.002837     -0.002291     -0.003480
   84788    20090611      -0.010394      0.007218      0.010810      0.006112
   84788    20090612      -0.018789     -0.001359     -0.002603      0.001397
   84788    20090615      -0.010704     -0.025417     -0.023409     -0.023769
   84788    20090616      -0.012383     -0.013118     -0.011482     -0.012720
   84788    20090617       0.006086     -0.003016     -0.001874     -0.001382
   84788    20090618      -0.012765      0.006611      0.003136      0.008411
   84788    20090619       0.016729      0.004106      0.006317      0.003114
   84788    20090622      -0.045926     -0.033150     -0.033322     -0.030600
   84788    20090623      -0.018572      0.002263     -0.002680      0.002307
   84788    20090624       0.020469      0.008940      0.008663      0.006524
   84788    20090625       0.036962      0.021621      0.021953      0.021444
   84788    20090626       0.020438      0.000870      0.009696     -0.001478
   84788    20090629      -0.010134      0.007693      0.002620      0.009065
   84788    20090630       0.007588     -0.007753     -0.001692     -0.008531
   84788    20090701      -0.024624      0.006079      0.011727      0.004362
   84788    20090702      -0.027941     -0.028146     -0.024530     -0.029145
   84788    20090706      -0.015381     -0.001709     -0.008867      0.002566
   84788    20090707      -0.031626     -0.019556     -0.015998     -0.019684
   84788    20090708       0.022875     -0.003653     -0.010970     -0.001669
   84788    20090709       0.009566      0.004872      0.005021      0.003547
   84788    20090710      -0.006018     -0.003390     -0.000116     -0.004022
   84788    20090713       0.049465      0.023932      0.016221      0.024934
   84788    20090714       0.005892      0.007252      0.008311      0.005316
   84788    20090715       0.031727      0.031137      0.029617      0.029630
   84788    20090716       0.018451      0.009456      0.008224      0.008642
   84788    20090717      -0.003019     -0.000100     -0.001876     -0.000383
   84788    20090720       0.027723      0.013489      0.015346      0.011432
   84788    20090721       0.008841      0.002492     -0.001750      0.003627
   84788    20090722      -0.002472      0.000625      0.006326     -0.000534
   84788    20090723       0.057214      0.024245      0.022672      0.023290
   84788    20090724      -0.078619      0.004319      0.006538      0.003042
   84788    20090727      -0.026015      0.003430      0.007161      0.002982
   84788    20090728       0.008784     -0.003762      0.001287     -0.002606
   84788    20090729      -0.007531     -0.006491     -0.005145     -0.004563
   84788    20090730       0.020749      0.013390      0.015049      0.011896
   84788    20090731      -0.003833      0.002684      0.004968      0.000740
   84788    20090803       0.019590      0.017978      0.019051      0.015342
   84788    20090804      -0.018756      0.002504      0.006835      0.003012
   84788    20090805      -0.017599     -0.002039      0.000603     -0.002914
   84788    20090806       0.002135     -0.007496     -0.007208     -0.005625
   84788    20090807       0.010063      0.013311      0.017849      0.013439
   84788    20090810      -0.010314     -0.004375      0.002095     -0.003345
   84788    20090811      -0.010422     -0.013754     -0.011713     -0.012660
   84788    20090812       0.028722      0.012274      0.012435      0.011525
   84788    20090813      -0.015821      0.008375      0.007157      0.006880
   84788    20090814      -0.012057     -0.010003     -0.012073     -0.008531
   84788    20090817      -0.030151     -0.026003     -0.025879     -0.024261
   84788    20090818       0.013077      0.012012      0.015007      0.010146
   84788    20090819       0.010716      0.006916      0.006590      0.006861
   84788    20090820       0.013132      0.010675      0.010307      0.010949
   84788    20090821       0.010822      0.018207      0.016437      0.018623
   84788    20090824      -0.005882     -0.000862      0.001050     -0.000546
   84788    20090825      -0.003669      0.002731      0.005311      0.002369
   84788    20090826      -0.002257     -0.000800      0.003465      0.000117
   84788    20090827       0.003690      0.003054      0.002991      0.002782
   84788    20090828      -0.018384     -0.001423     -0.001743     -0.001988
   84788    20090831      -0.018971     -0.009180     -0.009000     -0.008076
   84788    20090901      -0.025003     -0.021946     -0.019637     -0.022124
   84788    20090902      -0.012885     -0.002636     -0.000628     -0.003296
   84788    20090903       0.004095      0.010692      0.010589      0.008535
   84788    20090904       0.005226      0.013981      0.013220      0.013118
   84788    20090908       0.025739      0.010417      0.011746      0.008845
   84788    20090909       0.016564      0.007777      0.011660      0.007782
   84788    20090910       0.019577      0.011151      0.012918      0.010422
   84788    20090911       0.008229      0.000080      0.002029     -0.001350
   84788    20090914      -0.008044      0.006382      0.008107      0.006339
   84788    20090915      -0.003697      0.006169      0.009201      0.003135
   84788    20090916       0.085577      0.016261      0.017454      0.015324
   84788    20090917      -0.002867     -0.003709     -0.000030     -0.003060
   84788    20090918      -0.001769      0.001857      0.002461      0.002637
   84788    20090921       0.003101     -0.004269     -0.001788     -0.003407
   84788    20090922       0.035225      0.008552      0.009561      0.006575
   84788    20090923      -0.014613     -0.010370     -0.004688     -0.010068
   84788    20090924      -0.002923     -0.012666     -0.015964     -0.009511
   84788    20090925      -0.017262     -0.006349     -0.002446     -0.006091
   84788    20090928       0.018670      0.017946      0.015758      0.017810
   84788    20090929      -0.005314     -0.001067      0.000059     -0.002230
   84788    20090930       0.017880     -0.002880     -0.004316     -0.003328
   84788    20091001      -0.024850     -0.027083     -0.024204     -0.025760
   84788    20091002      -0.013071     -0.005305     -0.006507     -0.004506
   84788    20091005      -0.013133      0.016008      0.015677      0.014875
   84788    20091006       0.025262      0.014545      0.013401      0.013705
   84788    20091007       0.033660      0.003054      0.002384      0.002712
   84788    20091008       0.013302      0.009685      0.009296      0.007470
   84788    20091009       0.005146      0.005240      0.006573      0.005641
   84788    20091012      -0.022046      0.003887      0.000513      0.004386
   84788    20091013       0.013141     -0.001923     -0.000480     -0.002788
   84788    20091014       0.027734      0.017816      0.014102      0.017546
   84788    20091015      -0.014878      0.002401      0.000130      0.004157
   84788    20091016      -0.007187     -0.008152     -0.006059     -0.008098
   84788    20091019      -0.006714      0.009987      0.007874      0.009405
   84788    20091020       0.003169     -0.007961     -0.009123     -0.006239
   84788    20091021      -0.016425     -0.008341     -0.006952     -0.008854
   84788    20091022       0.000321      0.010135      0.006973      0.010644
   84788    20091023       0.267951     -0.012721     -0.013168     -0.012179
   84788    20091026       0.051902     -0.013199     -0.012990     -0.011717
   84788    20091027      -0.020619     -0.006300     -0.010169     -0.003318
   84788    20091028      -0.003523     -0.023836     -0.030392     -0.019541
   84788    20091029       0.007703      0.023807      0.020349      0.022520
   84788    20091030      -0.030732     -0.028001     -0.023885     -0.028065
   84788    20091102       0.000252      0.005083     -0.001022      0.006456
   84788    20091103      -0.003955      0.005747      0.009401      0.002426
   84788    20091104      -0.010729      0.000868     -0.002387      0.001043
   84788    20091105       0.029974      0.019374      0.020275      0.019236
   84788    20091106       0.046348      0.001553     -0.000597      0.002503
   84788    20091109       0.003724      0.023286      0.015690      0.022239
   84788    20091110       0.027473     -0.000672     -0.006304     -0.000064
   84788    20091111      -0.001844      0.005482      0.005813      0.005032
   84788    20091112       0.004772     -0.011722     -0.014038     -0.010259
   84788    20091113       0.018693      0.006826      0.007887      0.005739
   84788    20091116      -0.010378      0.015592      0.016714      0.014468
   84788    20091117      -0.002584      0.001240     -0.001824      0.000919
   84788    20091118       0.000305     -0.000941     -0.001355     -0.000468
   84788    20091119      -0.017518     -0.014008     -0.014576     -0.013426
   84788    20091120       0.005194     -0.003930     -0.001469     -0.003215
   84788    20091123       0.025760      0.012969      0.010755      0.013616
   84788    20091124      -0.000451     -0.001308     -0.002305     -0.000533
   84788    20091125       0.008199      0.005832      0.003686      0.004504
   84788    20091127      -0.017086     -0.018551     -0.016764     -0.017233
   84788    20091130       0.031653      0.003947      0.002433      0.003793
   84788    20091201       0.019057      0.014008      0.012539      0.012075
   84788    20091202       0.027076      0.002344      0.005848      0.000343
   84788    20091203      -0.007592     -0.008821     -0.006843     -0.008402
   84788    20091204      -0.025430      0.005362      0.011082      0.005509
   84788    20091207      -0.024495     -0.001580      0.001961     -0.002468
   84788    20091208      -0.000745     -0.010582     -0.007915     -0.010252
   84788    20091209      -0.020878      0.003537      0.002190      0.003672
   84788    20091210       0.030995      0.005291     -0.001180      0.005840
   84788    20091211      -0.009086      0.003171      0.005236      0.003683
   84788    20091214      -0.020648      0.008465      0.009914      0.006959
   84788    20091215      -0.008753     -0.004612     -0.004277     -0.005547
   84788    20091216      -0.014359      0.003300      0.005027      0.001128
   84788    20091217      -0.011296     -0.012545     -0.010307     -0.011811
   84788    20091218       0.012371      0.006088      0.005057      0.005830
   84788    20091221       0.033546      0.009733      0.009406      0.010504
   84788    20091222       0.007230      0.004602      0.005825      0.003564
   84788    20091223       0.038804      0.004718      0.008581      0.002299
   84788    20091224      -0.003383      0.005241      0.005349      0.005256
   84788    20091228       0.006066      0.000984     -0.000148      0.001154
   84788    20091229       0.000718     -0.000931      0.001684     -0.001401
   84788    20091230      -0.020945     -0.000668      0.000497      0.000195
   84788    20091231      -0.014433     -0.008658     -0.002657     -0.010050
   84788    20100104      -0.004609      0.017120      0.019120      0.016043
   84788    20100105       0.005900      0.003368      0.002475      0.003116
   84788    20100106      -0.018116      0.002052      0.003210      0.000546
   84788    20100107      -0.017013      0.002854      0.006887      0.004001
   84788    20100108       0.027077      0.004162      0.007230      0.002882
   84788    20100111      -0.024056      0.001122      0.003568      0.001747
   84788    20100112      -0.022700     -0.010990     -0.010170     -0.009381
   84788    20100113       0.013820      0.008639      0.008890      0.008326
   84788    20100114      -0.013632      0.002320      0.004431      0.002427
   84788    20100115      -0.001649     -0.011321     -0.008664     -0.010823
   84788    20100119       0.003697      0.012053      0.011286      0.012500
   84788    20100120      -0.014341     -0.011061     -0.009048     -0.010598
   84788    20100121       0.006678     -0.017736     -0.014191     -0.018945
   84788    20100122      -0.040989     -0.020990     -0.014432     -0.022141
